Year,Title,Popularity,Genre
1950,Annie Get Your Gun,1.726175,Action
1951,A Streetcar Named Desire,14.884756,Drama
1952,Singin' in the Rain,36.556954,Comedy
1953,From Here to Eternity,6.915201,War
1954,Seven Samurai,39.756747999999995,Action
1955,Ordet,3.225189,Drama
1956,Moby Dick,5.224593,Adventure
1957,12 Angry Men,59.259204000000004,Drama
1958,Cat on a Hot Tin Roof,16.553594,Drama
1959,Some Like It Hot,39.30982,Comedy
1960,Psycho,93.06786600000001,Drama
1961,Judgment at Nuremberg,13.338539,Drama
1962,To Kill a Mockingbird,22.139842,Crime
1963,The Great Escape,35.061467,Adventure
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,41.996783,Drama
1965,Pierrot le Fou,7.791898,Drama
1966,"The Good, the Bad and the Ugly",88.377076,Western
1967,In Cold Blood,7.821438000000001,Crime
1968,Once Upon a Time in the West,49.333137,Western
1969,The Wild Bunch,14.970654000000001,Adventure
1970,The Conformist,8.429295,Drama
1971,The French Connection,15.978136,Action
1972,The Godfather,143.659698,Drama
1973,The Sting,28.500913,Comedy
1974,The Godfather: Part II,105.79293600000001,Drama
1975,One Flew Over the Cuckoo's Nest,127.525581,Drama
1976,Taxi Driver,58.845025,Crime
1977,Star Wars,126.393695,Adventure
1978,The Last Waltz,3.2772870000000003,Documentary
1979,Apocalypse Now,49.973462,Drama
1980,The Empire Strikes Back,78.51783,Adventure
1981,Das Boot,26.967494,Action
1982,Blade Runner,94.05613100000001,Science Fiction
1983,Scarface,70.105981,Action
1984,Once Upon a Time in America,49.336397,Drama
1985,Anne of Green Gables,8.772574,Drama
1986,Stand by Me,51.109279,Crime
1987,The Untouchables,38.272889,Crime
1988,Akira,39.338097,Science Fiction
1989,Dead Poets Society,55.458583999999995,Drama
1990,GoodFellas,63.65424399999999,Drama
1991,The Silence of the Lambs,18.174804,Crime
1992,Reservoir Dogs,66.925866,Crime
1993,Schindler's List,104.469351,Drama
1994,The Shawshank Redemption,136.747729,Drama
1995,Se7en,79.579532,Crime
1996,Trainspotting,63.513324,Drama
1997,Princess Mononoke,60.732738,Adventure
1998,American History X,73.56723199999999,Drama
1999,Fight Club,146.75739099999998,Drama
2000,Memento,60.715151,Mystery
2001,Spirited Away,118.968562,Fantasy
2002,City of God,44.356711,Drama
2003,The Lord of the Rings: The Return of the King,123.63033200000001,Adventure
2004,Howl's Moving Castle,49.549984,Fantasy
2005,Star Wars: Clone Wars: Volume 1,1.881466,Action
2006,The Prestige,74.440708,Drama
2007,There Will Be Blood,37.817904999999996,Drama
2008,The Dark Knight,187.322927,Drama
2009,Inglourious Basterds,72.595961,Drama
2010,Inception,167.58371,Action
2011,Samsara,12.781972999999999,Drama
2012,The Hunt,21.826888,Drama
2013,One Direction: This Is Us,7.944457000000001,Documentary
2014,Whiplash,192.528841,Drama
2015,Room,66.11334000000001,Drama
2016,Me Before You,53.161905000000004,Drama
